'Id', 'UserId', 'Name', 'Date', 'Class', 'TagBased'
'83380', '1762', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83381', '3857', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83382', '1165', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83383', '5595', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83384', '2108', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83385', '4954', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83386', '4805', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83387', '1732', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83388', '2667', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83389', '3508', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83390', '206', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83391', '1764', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83392', '148', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83393', '6366', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83394', '3797', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83395', '4612', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83396', '2094', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83397', '1337', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83398', '102', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83400', '4676', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83401', '1895', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83402', '2228', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83403', '1881', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83404', '968', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83405', '1179', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83406', '5419', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83407', '1227', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83408', '3712', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83409', '2140', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83410', '4711', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83411', '142', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83412', '4702', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83413', '5211', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83414', '287', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83415', '3153', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83416', '320', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83417', '725', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83418', '3210', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83419', '1343', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83420', '423', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83421', '3289', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83422', '2688', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83423', '3622', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
